title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
.다음의 예에서 결괏값이 다른 하나는?,https://cbt.youngjin.com/upload/sqld/133.png,, SELECT NULL*2 FROM SQLD_13;, SELECT NULL*3 FROM SQLD_13;, SELECT NULL * NULL FROM SQLD_13;, SELECT count(고객) FROM SQLD_13 WHERE 거래내역 IS NULL;,정답 : 다른 것은 모두 NULL을 반환하는데거래내역이 NULL인 고객의 수를 구해서 2를 반환한다.
.Subquery의 종류 중에서 Subquery가 Mainquery의 제공자 역할을 하고 Mainquery의 값이 Subquery에 주입되지 않는 유형은 무엇인가?,,, ① Filter형 Subquery, Early Filter형 Subquery, Associative Subquery, Access Subquery,정답 : Access Subquery는 제공자 역할을 하는 서브쿼리이다.
.다음 개념에 해당하는 관계는 무엇인가?,,, 식별자 관계(Identifying Relationship), 비식별자 관계(Non-Identifying Relationship), 일반 속성 관계(Attribute Relationship), 외부 식별 관계(Foreign Key Relationship),정답 : 부모 엔터티로부터 속성을 받았지만 자식 엔터티의 주식별자로 사용하지 않고 일반적인 속성으로만 사용하는 것은 비식별자 관계(Non-Identifying Relationship)에 대한 설명이다.
.그룹 내 행 순서 관련 함수에 속하지 않는 함수를 모두 고르시오.,,, FIRST_VALUE, LAST_VALUE, RANK, LAG,정답 : RANK 함수는 순위를 구하는 윈도우 함수로 행의 순서와는 관련이 없다.
.테이블의 반정규화 기법 중 데이터 무결성을 깨뜨릴 위험을 갖지 않고서도 데이터 처리의 성능을 향상 시킬 수 있는 기법은?,,, 테이블 반정규화, 중복관계 추가, 칼럼 반정규화, 데이터 반정규화,정답 : • 테이블과 칼럼의 반정규화는 데이터 무결성에 영향을 미치지만 관계의 반정규화 기법 중 중복관계 추가는 데이터 무결성을 깨뜨릴 위험을 갖지 않고서도 데이터처리의 성능을 향상시킬 수 있다.• 데이터 모델 전체가 관계로 연결되어 있고 관계가 서로 먼 친척 간에 조인관계가 빈번하게 되어 성능저하가 예상된다면 관계의 반정규화를 통해 성능향상을 도모할 필요가 있다.
.Case문에서 ELSE를 생략하면 어떤 현상이 발생되는가?,,, ELSE를 생략하고 작성하면 실행 시 ELSE 조건이 참이 되며 오류가 발생한다., ELSE 조건이 만족하게 되면 공집합이 리턴 된다., ELSE 조건을 만족하게 되면 무시된다., ELSE 조건이 만족하게 되면 NULL이 된다.,"정답 : CASE문은 IF~THEN~ELSE를 구현할 수 있는 SQL문이다. 즉, 어떤 조건이 참이면 A를 실행하고 그렇지 않으면 B를 실행하라는 것이다. CASE문에서 ELSE 조건을 생략하면 NULL이 되돌려진다."
.데이터 유형에 대한 설명 중 틀린 것은 무엇인가?,,, VARCHAR 유형은 가변 길이 숫자형이다., CHAR 유형은 고정 길이 문자형이다., NUMERIC 유형은 숫자형 데이터를 표현한다., DATE 유형은 날짜 데이터를 다룰 때 사용한다.,정답 : VARCHAR 유형은 가변 길이 문자형이다.
.다음 student 테이블을 이용하여 아래의 SQL을 수행하였을 때 실행 결과는?,https://cbt.youngjin.com/upload/sqld/20230828_084538.png,, 0, 1, 2, 3,"정답 : SELECT문을 보면 department로 GROUP BY한다. 그리면 총 3개의 그룹이 만들어진다. computer, physics, math이다. 3개의 그룹 중에서 개수가 2개 초과인 것을 조회하기 위해서 “HAVING count(*) > 2”문을 사용했다. 따라서 2개 초과인 것은 math이고 math는 총 3개가 있으므로 3이 된다."
.다음 SQL문의 실행 결과는 무엇인가?,,, 1, 2, 3, NULL,"정답 : COALESCE 함수는 NULL이 아닌 첫 번째 값을 리턴하는 함수이다. 즉, 위의 문제에서 첫 번째는 NULL이고 두 번째는 ‘2’이다. 따라서 ‘2’가 리턴된다."
.다음 설명에 해당하는 속성의 종류는 무엇인가?,,, 연관 속성, 기본 속성, 설계 속성, 파생 속성,"정답 : 다른 속성으로부터 계산이나 변형이 되어 생성되는 속성을 파생 속성(Derived Attribute)이라고 한다.속성의 종류1) 기본 속성업무로부터 추출한 모든 속성이 여기에 해당하며 엔터티에 가장 일반적이고 많은 속성을 차지한다.코드성 데이터, 엔터티를 식별하기 위해 부여된 일련번호와 같은 설계 속성이나 다른 속성을 계산하거나 영향을 받아 생성된 속성인 파생 속성을 제외한 모든 속성은 기본 속성이다.2) 설계 속성업무상 필요한 데이터 이외에 데이터 모델링을 위해, 업무를 규칙화하기 위해 속성을 새로 만들거나 변형하여 정의하는 속성이다.원래 속성을 업무상 필요에 의해 변형하여 만든 코드성 속성이 이에 해당하고 일련번호와 같은 속성은 단일(Unique)한 식별자를 부여하기 위해 모델상에서 새로 정의하는 속성이다.3) 파생 속성다른 속성에 영향을 받아 발생하는 속성으로서 보통 계산된 값들이 이에 해당된다.다른 속성에 영향을 받기 때문에 프로세스 설계 시 데이터 정합성을 유지하기 위해 유의해야 할 점이 많으며 가급적 적게 정의하는 것이 좋다."
.Sort Merge 방식의 조인이 Nested Loop 방식 조인보다 효율적으로 판단되는 것을 고르시오.,,, 기본키와 외래키 관계에서 외래키에 인덱스가 없을 때, 사용자가 발주한 주문에 대해서 체결 정보 한 건을 확인할 때, 병렬로 테이블을 읽고 SORT_AREA_SIZE가 작은 경우, Random Access가 자주 발생하지 않을 때,정답 : Sort Merge 방식의 조인은 두 개의 테이블을 Sort 한 후에 Merge를 한다. Merge가 완료되면 한 번의 Full Scan으로 데이터를 검색한다. 따라서 기본키와 외래키 관계에서 외래키에 인덱스가 없을 때 옵티마이저가 Sort Merge 방식의 조인으로 동작하게 한다.
.다음은 ERD(Entity Relationship Diagram) 작성 순서이다. 올바른 것을 고르시오.,,, 나)→가)→다)→라)→마)→바), 가)→나)→다)→라)→마)→바), 가)→나)→라)→다)→마)→바), 가)→나)→다)→마)→바)→라),정답 :
".SQL 트레이스를 수집한 결과 Row Source Operation이 다음과 같았다. 가장 우선적으로 검토할 사항으로 올바른 것은? (단, 한 달간 주문 건수는 평균 50만 건이다)",https://cbt.youngjin.com/upload/sqld/148.png,, 고객_IDX 인덱스 칼럼 순서를 조정한다., 주문_IDX 인덱스 칼럼 순서를 조정한다., 고객_IDX 인덱스에 칼럼을 추가한다., 주문_IDX 인덱스에 칼럼을 추가한다.,정답 : • 고객_IDX 인덱스를 읽고 나서 고객 테이블을 액세스하는 횟수는 많으나 대부분 필터링되고 있다.• 고객에 대한 조건절로 사용된 고객등급이나 연령 칼럼이 인덱스에 포함돼 있지 않아 생기는 현상이므로 고객_IDX에 칼럼을 추가해 주어야 한다.
.다음과 같은 SQL 문장이 있다. 예제의 ORDER BY절과 같은 결과를 갖는 구문은 어떤 것인가?,,," ORDER BY 선수명 ASC, 포지션, 3 DESC"," ORDER BY 선수명, 2, DESC 백넘버"," ORDER BY PLAYER_NAME ASC, 2, 3"," ORDER BY 1 DESC, 2, 백넘버",정답 : ORDER BY절에서 정렬 기준이 생략되면 Default로 ASC(오름차순) 정렬이 된다. ORDER BY절에는 칼럼명 대신에 SELECT절에 기술한 칼럼의 순서 번호나 칼럼의 ALIAS명을 사용할 수 있다.
.SQL 문장에서 집합별로 집계된 데이터에 대한 조회 조건을 제한하기 위해서 사용하는 절은 어느 것인가?,,, HAVING절, GROUP BY절, WHERE절, FROM절,정답 : 일반적인 SQL 문장에서 조회하는 데이터를 제한하기 위해서는 WHERE절을 사용하지만 그룹별로 조회할 때 집계 데이터에 대한 제한 조건을 사용하기 위해서는 HAVING절을 사용한다.
.그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.,,, RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다.," DENSE_RANK 함수는 RANK 함수와 흡사하며, 동일한 순위를 하나의 건수로 취급한다.", RCUMM_RANK 함수는 누적된 순위를 부여한다.," RANK 함수가 동일한 값에 대해서는 동일한 순위를 부여하는 데 반해, ROW_NUMBER 함수는 고유한 순위를 부여한다.",정답 : RCUMM_RANK는 존재하지 않는 함수이다.
Sort Merge 방식의 조인이 Nested Loop 방식 조인보다 효율적으로 판단되는 것을 고르시오.,,,기본키와 외래키 관계에서 외래키에 인덱스가 없을 때,사용자가 발주한 주문에 대해서 체결 정보 한 건을 확인할 때,병렬로 테이블을 읽고 SORT_AREA_SIZE가 작은 경우,Random Access가 자주 발생하지 않을 때,정답 : Sort Merge 방식의 조인은 두 개의 테이블을 Sort 한 후에 Merge를 한다. Merge가 완료되면 한 번의 Full Scan으로 데이터를 검색한다. 따라서 기본키와 외래키 관계에서 외래키에 인덱스가 없을 때 옵티마이저가 Sort Merge 방식의 조인으로 동작하게 한다.
다음 SQL문의 실행 결과로 올바른 것을 고르시오.,https://cbt.youngjin.com/upload/sqld/74.png,,"10, 20","10, 20, 30","10, 20, 30 ,40","10, 20, 30, 40, 50",정답 : ALL 연산자는 서브쿼리(Subquery) 값 모두가 조건에 만족하면 True를 반환한다.
다음의 SQL문과 동일한 것을 고르시오.,,,Select Case When Name IS NOT NULL THEN NAME ELSE ‘0’ END AS USER_NAMEFrom Emp;,Select Case When Name IS NOT NULL THEN ‘0’ ELSE NAME END AS USER_NAMEFrom Emp;,Select Case When Name IS NULL THEN ‘없음’ ELSE NAME END AS USER_NAMEFrom Emp;,Select Case When Name IS NULL THEN ‘없음’ ELSE ‘0’ END AS USER_NAMEFrom Emp;,정답 : IS NULL 함수는 만약 NULL이면 “없음”을 출력하고 그렇지 않으면 NAME 칼럼의 값을 출력하는 것이다.
식별자의 대체 여부에 따라 분류하는 방식은?,,, 본질 식별자 - 인조 식별자, 내부 식별자 - 외부 식별자, 주식별자 - 보조 식별자, 단일 식별자 - 복합 식별자,정답 : 식별자를 대체할 수 있는 성격에 따라 구분한 개념은 본질 식별자 - 인조 식별자이다.
"데이터 모델링이 최종적으로 완료된 상태라고 정의할 수 있는, 즉 물리적인 스키마 설계를 하기 전 단계를 가리키는 말은?",,, 물리적 데이터 모델링, 논리적 데이터 모델링, 개괄 데이터 모델링, 데이터 모델링,정답 : 논리적 데이터 모델링의 결과로 얻어지는 논리 데이터 모델은 데이터 모델링이 최종적으로 완료된 상태라고 정의할 수 있다. 즉 물리적인 스키마 설계를 하기 전 단계의 ‘데이터 모델’ 상태를 일컫는 말이다.
다음 SQL 문장의 결과로 출력되는 데이터는 무엇인가?,,, 선수의 영문 이름의 두 번째 문자가 A인 선수들의 이름, 선수의 영문 이름이 A나 a로 시작하는 선수들의 이름, 선수의 영문 이름이 A로 시작하는 선수들의 이름, 위치에 상관없이 선수의 영문 이름에 A를 포함하는 선수들의 이름,정답 : “_” 와 “%”는 와일드카드(WILD CARD)로 하나의 글자 또는 모든 문자를 대신하여 사용이 되므로 두 번째 문자가 대문자 A인 경우만 출력된다.
다음 중 인덱스 튜닝에 대해 잘못 설명하고 있는 것은?,,," 인덱스를 경유한 테이블의 Random 액세스 부하가 심할 때, 클러스터 테이블이나 IOT를 활용하는 방안을 고려할 수 있다.", 인덱스를 경유한 테이블 액세스 횟수가 같더라도 인덱스 구성에 따라 스캔 효율이 달라진다. 따라서 인덱스 스캔 효율을 높이기 위해 인덱스 칼럼 순서를 바꿔야 할 때가 종종 있다., 조건절이 Where deptno = 10 and ename = ‘SCOTT’일 때 인덱스를 [deptno + ename] 순으로 구성하나 [ename + deptno] 순으로 구성하나 인덱스 스캔 효율에 차이가 없다., 인덱스 튜닝의 핵심 요소 중 하나는 불필요한 테이블 Random 액세스가 발생하지 않도록 하는 데에 있다. 이를 위해 인덱스 칼럼 순서를 바꿔주는 것도 큰 효과가 있다.,정답 : 인덱스 칼럼 순서를 아무리 바꾸어도 테이블 Random 액세스 횟수는 줄지 않는다.
다음 중에서 DDL(Data Definition Language)에 해당되지 않는 것은?,,, REVOKE, CREATE INDEX, DROP TABLE, ALTER TABLE,"정답 : • DDL(Data Definition Language)은 SQL문 중에서 생성에 관련된 것으로 CREATE TABLE, ALTER TABLE, DROP TABLE, CREATE VIEW, DROP VIEW가 있다.• REVOKE는 권한을 삭제하는 것으로 DCL(Data Control Language)이다."
다음 중에서 집합 연산자의 종류에 해당되지 않은 것을 고르시오.,,, Union all, Union, Project, Except,정답 : 집합 연산자(SET OPERATOR)는 두 개 이상의 테이블에서 조인을 하지 않고 관련된 데이터를 조회한다.
.다음 중 SELF JOIN을 수행해야 할 때는 어떤 경우인가?,,, 한 테이블 내에서 두 칼럼이 연관 관계가 있다., 두 테이블에 연관된 칼럼은 없으나 JOIN을 해야 한다., 두 테이블에 공통 칼럼이 존재하고 두 테이블이 연관 관계가 있다., 한 테이블 내에서 연관된 칼럼은 없으나 JOIN을 해야 한다.,정답 : SELF JOIN은 하나의 테이블에서 두 개의 칼럼이 연관 관계를 가지고 있는 경우에 사용한다.
.분산 데이터베이스의 특징 중 저장 장소 명시가 불필요하다는 특성은 무엇인가?,,, 지역 사상 투명성, 위치 투명성, 병행 투명성, 분할 투명성,정답 : • 위치 투명성이란 사용하려는 데이터의 저장 장소 명시가 불필요하며 위치 정보가 System Catalog에 유지되어야 함을 말한다.• 지역 사상 투명성이란 지역 DBMS와 물리적 DB 사이의 Mapping을 보장한다. 각 지역 시스템 이름과 무관한 이름 사용이 가능하다.
.일반적으로 FROM절에 정의된 후 먼저 수행되어 SQL 문장 내에서 절차성을 주는 효과를 볼 수 있는 것은 어떤 유형의 서브쿼리 문장인가?,,, SCALAR SUBQUERY, INLINE VIEW, CORRELATED SUBQUERY, NESTED SUBQUERY,정답 : FROM절에 정의된 서브쿼리는 INLINE VIEW이다. INLINE VIEW는 일반적으로 메인쿼리보다 먼저 수행되므로 SQL 문장 내에서 절차성을 주는 효과를 얻을 수 있다.
.다음 설명 중 맞는 것은 무엇인가?,,, 모든 자료는 실질적으로 테이블에 저장되며 테이블에 있는 자료들을 꺼내 볼 수 있다., 데이터베이스 내에 테이블이란 존재하지 않는다., 아주 복잡한 자료도 테이블은 하나만 만드는 것이 바람직하다., 데이터베이스에는 단 한 개의 테이블만 존재할 수 있다.,"정답 : 데이터베이스에는 자료의 성격에 따라 N개의 테이블을 생성한다. 모든 자료들은 테이블에 입력되며 조회, 수정, 삭제할 수 있다."
.다음 주어진 테이블에 대해서 아래와 같은 SQL문을 수행하였을 때 반환되는 ROW 값의 수는 무엇인가?,https://cbt.youngjin.com/upload/sqld/63.png,, 1, 2, 3, 4,"정답 : 주어진 SQL문에서 앞에 UNION 연산을 수행하면 1, 2, 3, 4, 5가 반환되고 이어서 minus를 수행하면 1, 3, 4, 5가 반환된다."
.SELECT문의 처리 순서로 올바른 것은?,,," WHERE, GROUP BY, ORDER BY, FROM, SELECT"," FROM, WHERE, GROUP BY, SELECT, ORDER BY"," SELECT, FROM, WHERE, GROUP BY, ORDER BY"," ORDER BY, SELECT, WHERE, GROUP BY, FROM",정답 :
.다음은 ERD(Entity Relationship Diagram) 작성 순서이다. 올바른 것을 고르시오.,,, 나)→가)→다)→라)→마)→바), 가)→나)→다)→라)→마)→바), 가)→나)→라)→다)→마)→바), 가)→나)→다)→마)→바)→라),정답 :
.발생 시점에 따라 구분할 수 있는 엔터티의 유형이 아닌 것은?,,, 행위 엔터티(Active Entity), 중심 엔터티(Main Entity), 기본 엔터티(Basic Entity), 개념 엔터티(Conceptual Entity),"정답 : 엔터티는 발생 시점에 따라 기본/핵심 엔터티(Basic Entity), 중심 엔터티(Main Entity), 행위 엔터티(Active Entity)로 구분이 된다. 발생 시점에 따른 종류에는 개념 엔터티(Conceptual Entity)라는 용어는 없으며, 추상화 수준이 높은 모델링의 단계로 개념 데이터 모델링이라고 표현한다."
.다음 설명이 나타내는 데이터 모델의 개념은 무엇인가?,,, 시스템 카탈로그(System Catalog), 용어 사전(Word Dictionary), 성 사전(Attribute Dictionary), 도메인(Domain),정답 : 도메인(Domain)은 속성에 대한 값의 범위 등 제약사항을 기술할 수 있다.
.자신의 속성이 없어도 다른 속성을 이용하여 결과를 도출할 수 있는 특징을 가진 속성의 이름은?,,, 설계 속성(Designed Attribute), 기본 속성(Basic Attribute), 파생 속성(Derived Attribute), 관계 속성(Associative Attribute),"정답 : 파생 속성(Derived Attribute)은 다른 속성을 이용하여 계산된 속성으로 자신의 고유값을 갖지 않고 파생, 유추되어 재산정될 수 있는 속성이다."
.어떠한 데이터 타입도 사용이 가능한 집계 함수는 어느 것인가?,,, AVG, SUM, COUNT, STDDEV,"정답 : 집계 함수는 집합에 대한 정보를 제공하므로 주로 숫자 유형에 사용된다. 추가로 MAX, MIN, COUNT 함수는 숫자 유형만 아니라 문자 유형, 날짜 유형에도 적용이 가능한 함수이다."
.다음 중 해시 조인(Hash Join)에 대한 설명으로 올바르지 않은 것은?,,, 해시 조인은 해시 함수를 사용해서 주소를 계산하고 조인을 수행한다., 해시 조인을 할 때는 선행 테이블의 크기가 작아야 한다., 해시 조인은 CPU 연산이 많이 발생한다., 해시 조인은 랜덤 액세스(Random Access)로 인하여 부하가 발생한다.,"정답 : 해시 조인은 해시 함수를 사용하므로 CPU를 많이 사용하지만, 랜덤 액세스는 발생하지 않는다. 랜덤 액세스는 Nested Loop 조인이 발생한다."
.다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,,, DATA 필드가 가질 수 있는 값의 범위는 0~3까지이다., SAL이 큰 순으로 조회된다., SAL의 값에 따라서 데이터를 4등분으로 분류해서 DATA 필드로 조회된다., SAL의 마지막 행은 급여가 가장 작은 사람이다.,정답 : NTILE(ARGUMENT) 윈도우 함수는 데이터를 ARGUMENT 값으로 N등분하는 함수이다. 위의 예처럼 NTILE(4)는 1부터 4까지 4등분한다.
.윈도우 함수 중에서 윈도우에서 제일 먼저 나오는 것을 0으로 하고 제일 늦게 나오는 것을 1로 해서 행 순서별 백분율을 구하는 것은?,,, FIRST_VALUE, LAST_VALUE, PERCENT_RANK, CUME_DIST,정답 : 위의 문제는 PERCENT_RANK()라는 윈도우 함수에 대한 것이다.
".학생(STUDENT) 테이블에 영문학과 학생 50명, 법학과 학생 100명, 수학과 학생 50명의 정보가 저장되어 있을 때, 다음 SQL문의 실행 결과 튜플 수는 각각 얼마인가? (단, DEPT필드는 학과명, NAME필드는 이름을 의미한다)",,," ㄱ : 3, ㄴ : 3, ㄷ : 1"," ㄱ : 200, ㄴ : 3, ㄷ : 1"," ㄱ : 200, ㄴ : 3, ㄷ : 50"," ㄱ : 200, ㄴ : 200, ㄷ : 50","정답 : ㄱ은 STUDENT 테이블을 조건없이 조회하는 것이므로 200=50+100+50이 된다. 그리고 ㄴ은 “DISTINCT”를 사용했으므로 학과명이 중복되면 한 번만 출력한다. 문제에서는 영문학과, 법학과, 수학과가 있으므로 3이 되고 ㄷ은 WHERE절에 “영문학과”만 조회하므로 50이 된다."
.릴레이션 ‘employee’와 ‘department’에서 다음 SQL 질의문의 수행 결과는?,https://cbt.youngjin.com/upload/sqld/91.png,," {(100, 영업, Lee, 90), (200, 개발, Kim, 95), (300, 서비스, Hong, 65)}"," {(100, 영업, Lee, 90), (200, 개발, Kim, 95)}"," {(100, 영업, Lee, 90)}"," {(100, 영업, Hong, 80), (100, 영업, Lee, 90), (200, 개발, Kim, 90), (200, 개발, Kim, 95), (600, null, Hong, 65)}",정답 :
.JOIN의 종류에 대한 설명으로 틀린 것은 무엇인가?,,, NON-EQUI JOIN은 등가 조건이 성립되지 않은 테이블에 JOIN을 걸어주는 방법이다.," EQUI JOIN은 반드시 기본키, 외래키 관계에 의해서만 성립된다.", OUTER JOIN은 JOIN 조건을 만족하지 않는 데이터도 볼 수 있는 JOIN 방법이다., SELF JOIN은 하나의 테이블을 논리적으로 분리시켜 EQUI JOIN을 이용하는 방법이다.,"정답 : EQUI JOIN은 반드시 기본키, 외래키 관계에 의해서만 성립되는 것은 아니다. 조인 칼럼이 1:1로 맵핑이 가능하면 사용할 수 있다."
.데이터 모델링의 세 가지 중요개념에 속하지 않는 것은?,,, 업무가 관여하는 어떤 것(Things), 업무가 관여하는 어떤 것의 성격(Attributes), 업무가 관여하는 어떤 것의 행위(Events), 업무가 관여하는 어떤 것의 관계(Relationships),"정답 : 업무가 관여하는 어떤 것(Things), 업무가 관여하는 어떤 것의 성격(Attributes), 업무가 관여하는 어떤 것의 관계(Relationships)로 구분이 된다."
.서브쿼리에 대한 설명으로 올바르지 않은 것은?,,, 서브쿼리는 괄호를 사용해서 SELECT문을 감싸서 사용하는 것이다., 서브쿼리는 비교 연산자와 함께 사용이 가능하다., 메인쿼리는 서브쿼리의 칼럼을 쓸 수 없다.," 서브쿼리는 SELECT절, FROM절, WHERE절 등에서 사용이 가능하다.",정답 : 서브쿼리의 한 종류인 인라인뷰(Inline view)의 칼럼을 메인 쿼리에서 사용이 가능하다.
.데이터 유형에 대한 설명 중 틀린 것은 무엇인가?,,, VARCHAR 유형은 가변 길이 숫자형이다., CHAR 유형은 고정 길이 문자형이다., NUMERIC 유형은 숫자형 데이터를 표현한다., DATE 유형은 날짜 데이터를 다룰 때 사용한다.,정답 : VARCHAR 유형은 가변 길이 문자형이다.
.다음의 예에서 결괏값이 다른 하나는?,https://cbt.youngjin.com/upload/sqld/133.png,, SELECT NULL*2 FROM SQLD_13;, SELECT NULL*3 FROM SQLD_13;, SELECT NULL * NULL FROM SQLD_13;, SELECT count(고객) FROM SQLD_13 WHERE 거래내역 IS NULL;,정답 : 다른 것은 모두 NULL을 반환하는데거래내역이 NULL인 고객의 수를 구해서 2를 반환한다.
".부서와 사원 테이블을 생성하는 SQL 문장을 수행한 후 튜플 삽입으로 두 테이블의 상태가 다음과 같을 때, 테이블 연산 수행에 대한 설명으로 올바르지 않은 것은?",https://cbt.youngjin.com/upload/sqld/132.png,," 부서 테이블에서 (2, ‘영업부’) 튜플을 삭제한다면 참조 무결성 제약조건을 위배한다."," 사원 테이블에 (13, ‘강감찬’, ‘A1’) 튜플을 삽입한다면 도메인 무결성 제약조건을 위배한다."," 사원 테이블에 (14, ‘김유신’, 0) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다."," 부서 테이블에 (1, ‘연구부’) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다.","정답 : 부서 테이블은 마스터 테이블이므로 사원 테이블에 없는 부서번호 등을 자유롭게 입력할 수 있다. 따라서 부서 테이블에 (1, ‘연구부’)을 입력하는 것은 참조 무결성 위배가 아니다."
".아래와 같은 테이블 TAB1, TAB2가 있을 때 아래 SQL의 결과 건수를 알맞게 나열한 것은?",https://cbt.youngjin.com/upload/sqld/77.png,," 2, 4, 3, 5, 12"," 2, 4, 5, 3, 12"," 2, 3, 4, 5, 12"," 2, 4, 3, 7, 12","정답 : TAB1 테이블에는 행이 4개, TAB2 테이블에는 행이 3개가 있다. KEY 칼럼을 사용해서 INNER JOIN을 하면 같은 것만 찾는다. 따라서 TAB1와 TAB2 테이블의 KEY 칼럼에서 ‘B’와 ‘C’가 같기 때문에 2개의 행이 출력된다."
.그룹 내 순위 관련 WINDOW 함수의 특징으로 틀린 것은?,,, RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다(같은 등수에 여럿이 존재하는 경우 등수가 SKIP될 수 있음)., RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다(같은 등수에 여럿이 존재하는 경우 등수가 SKIP될 수 있음)., RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다(같은 등수에 여럿이 존재하는 경우 등수가 SKIP될 수 있음)., RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다(같은 등수에 여럿이 존재하는 경우 등수가 SKIP될 수 있음).,"정답 : 그룹 내 순위 관련 WINDOW FUNCTION으로는 RANK, DENSE_RANK, ROW_NUMBER 함수가 있고, ④번은 DENSE_RANK 함수에 대한 설명이며, CUMM_RANK 함수는 존재하지 않는다."
".소계, 중계, 합계처럼 계층적 분류를 포함하고 있는 데이터의 집계에 적합한 GROUP 함수 두 가지는 무엇인가?",,," ROLLUP, SUM"," GROUPING, SUM"," ROLLUP, CUBE"," CUBE, SUM","정답 : ROLLUP, CUBE는 GROUP BY의 확장된 형태로 병렬로 수행이 가능하고 사용하기가 쉽기 때문에 효과적이다. 다차원적인 집계가 필요한 경우는 CUBE를 사용한다."
.조인에 대한 설명으로 적절하지 않은 것은 다음 중 무엇인가?,,, Nested Loop Join은 중첩된 반복문과 유사한 형식이다., FROM절에 나열된 모든 테이블이 동시에 조인 작업이 수행된다., Nested Loop Join은 선행 테이블의 조건을 만족하는 건수만큼 반복 수행된다., Hash Join은 작은 테이블을 선행 테이블로 사용하는 것이 성능관점에서 좋다.,"정답 : FROM절에 아무리 많은 테이블이 나열되더라도 항상 2개씩 조인된다. 테이블과 테이블 사이 또는 앞에서 이미 수행된 조인의 결과 집합과 테이블, 조인 결과와 조인 결과 사이에서 조인이 처리된다."
.다음의 내용 중에서 ROWNUM을 올바르게 사용하지 않은 것은?,,," SELECT ROWNUM, ENAME FROM EMP;", SELECT EMPNO FROM EMP WHERE ROWNUM=1;, SELECT ENAME FROM EMP WHERE ROWNUM=2;, SELECT DEPTNO FROM EMP WHERE ROWNUM < 10;,"정답 : ROWNUM은 SELECT문에서 행이 인출될 때 행에 부여되는 일렬번호이다. 만약 ROWNUM을 1, 2, 3, 4 등으로 인출하고 조건에 부여하려면 인라인 뷰를 사용해야 한다."
.그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.,,, RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다.," DENSE_RANK 함수는 RANK 함수와 흡사하며, 동일한 순위를 하나의 건수로 취급한다.", RCUMM_RANK 함수는 누적된 순위를 부여한다.," RANK 함수가 동일한 값에 대해서는 동일한 순위를 부여하는 데 반해, ROW_NUMBER 함수는 고유한 순위를 부여한다.",정답 : RCUMM_RANK는 존재하지 않는 함수이다.
.다음 중 설계 단계에서 데이터 모델의 성능을 고려하는 절차와 방법에 포함되지 않는 것은?,,," 이력모델의 조정, 기본키/외래키 조정, 슈퍼타입/서브타입 조정 등을 수행한다.", 데이터베이스 용량 산정을 수행한다., 데이터베이스에 발생되는 트랜잭션의 유형을 파악한다., 데이터 모델링을 할 때 분석 단계에서부터 반정규화를 수행한다.,정답 : 성능을 고려한 데이터 모델링을 할 때 첫 번째 단계는 정규화를 적용한 데이터 모델을 만드는 것이다.
.다음 결과는 2개의 테이블을 어떤 Join으로 진행한 것인가?,https://cbt.youngjin.com/upload/sqld/118.png,, Natural Join, Right Outer Join, Left Outer Join, Full Outer Join,정답 : 위의 결과를 보면 EMPNO와 DEPTNO 각각에 서로 없는 것이 있다. 그래서 FULL OUTER JOIN이 된다.
.다음 과일 테이블에 대한 SQL문 내의 비교조건을 해석한 것으로 올바르지 않은 것은?,https://cbt.youngjin.com/upload/sqld/131.png,, “21 NOT IN (SELECT 과일코드 FROM과일)”은 참이다., “19 < ANY (SELECT 과일코드 FROM 과일)”은 거짓이다., “15 < ALL (SELECT 과일코드 FROM 과일)”은 참이다., “19=ALL(SELECT 과일코드 FROM 과일)” 거짓이다.,정답 : ALL은 전부 일치하는 것만 출력하는 것으로 AND라고 생각하면 되고 ANY는 OR로 생각하면 된다.
.다음 SQL문의 결과로 출력되는 데이터는 무엇인가?,,, 오늘 날짜로부터 6일 후 첫 번째 월요일을 출력한다., 오늘 날짜로부터 6개월 후 두 번째 월요일을 출력한다., 오늘 날짜로부터 6개월 후 첫 번째 월요일을 출력한다., 오늘 날짜로부터 6일 후 두 번째 월요일을 출력한다.,"정답 : ADD_MONTHS 함수는 6개월을 더하고 NEXT_DAY 함수는 지정된 요일의 첫 번째 날짜를 출력한다. 즉, 문제에서는 6개월 후 첫 번째 월요일을 출력한다."
