id,title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
39,다음 중 파티션에 대한 설명으로 올바르지 않은 것은?,,,"AVG(SAL) OVER (PARTITION BY MGR ORDER BY TODAY ROWS BETWEEN 1 PRECEDING AND 1 FOLLOWING) : 각 MGR 별로 앞의 한 건, 현재 행, 뒤의 한 건 사이에서 SAL의 평균을 계산한다.",COUNT(*) OVER (ORDER BY SAL) RANGE BETWEEN 10 PRECEDING AND 150 FOLLOWING) : SAL을 기준으로 현재 행에서의 SAL의 -10에서 +150사이의 급여를 가지는 행의 수를 계산한다.,SUM(SAL) OVER (PARTITION BY MGR ORDER BY SAL RANGE UNBOUNDED PRECEDING) :각 MGR별 현재 행부터 파티션 내 첫 번째 행까지의 SAL의 합계를 계산한다.,RANK() OVER (PARTITION BY JOB ORDER BY SAL ASC) JOB_RANK :각 JOB 별 SAL이 낮은 순서대로 순위가 부여된다.,"정답: 1
해설: ①번 보기는 각 MGR별로 SAL의 평균을 계산하기 전에 TODAY를 기준으로 정렬을 수행한 다음에 SAL의 평균을 계산한다. 즉, 각 MGR별 TODAY 기준으로 정렬하였을 때 파티션 내에서 앞의 한 건, 현재 행, 뒤의 한 건 사이의 급여의 평균을 계산한다."
40,다음 계층형 쿼리문에 대한 설명으로 옳지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j458-1.png,"SELECT ID, PARENT_ID, NAME, PARENT_NAME FROM SQLD_13 WHERE PARENT_ID NOT IN (3) START WITH PARENT_ID = 0 CONNECT BY PRIOR ID = PARENT_ID ORDER SIBLINGS BY PARENT_ID ASC, ID ASC;",ORDER SIBLINGS BY를 하면 전체 테이블 기준으로 정렬한다.,중복이 생겼을 때 루프를 돌지 않기 위해 NO CYCLE 옵션을 사용할 수 있다.,순방향 전개다.,PARENT_ID가 0이라도 3이 포함되면 전개를 멈춘다.,"정답: 1
해설: ④의 경우, 계층쿼리는 일단 START WITH_CONNECT BY로 전개를 수행한 후에 WHERE로 필터링을 한다. 만약 CONNECT BY에 AND 조건을 PARENT_ID != 3 식이었다면 전개 중에 멈추겠지만 WHERE에서 필터링을 하는 것이므로 일단 전개를 완료한 후에 WHERE가 실행되는 것으로 볼 수 있다."
41,"부서와 사원 테이블을 생성하는 SQL 문장을 수행한 후 튜플 삽입으로 두 테이블의 상태가 다음과 같을 때, 테이블 연산 수행에 대한 설명으로 올바르지 않은 것은?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j249-1.png,,"부서 테이블에 (1,'연구부') 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다.","사원 테이블에 (14,'김유신',0) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다.","사원 테이블에 (13,'강감찬','A1') 튜플을 삽입한다면 도메인 무결성 제약조건을 위배한다.","부서 테이블에서 (2,'영업부') 튜플을 삭제한다면 참조 무결성 제약조건을 위배한다.","정답: 1
해설: 부서 테이블은 마스터 테이블이므로 사원 테이블에 없는 부서번호 등을 자유롭게 입력할 수 있다. 따라서 부서 테이블에 (1,""연구부"")을 입력하는 것은 참조 무결성 위배가 아니다. 단, 부서테이블에 부서번호 칼럼은 PRIMARY KEY이므로 중복값이 입력되면 안된다. 즉, 이미 부서번호가 1인 대상이 있으므로, 무결성 제약 조건에 위배된다."
42,다음 설명 중 가장 적절한 것은?,,,CUBE 그룹 함수는 인자로 주어진 컬럼의 결합 가능한 모든 조합에 대해서 집계를 수행하므로 다른 그룹 함수에 비해 시스템에 대한 부하가 크다.,"CUBE, ROLLUP, GROUPING SETS 함수들의 대상 컬럼 중 집계된 컬럼 이외의 대상 컬럼 값은 해당 컬럼의 데이터 중 가장 작은 값을 반환한다.",GROUPING SETS 함수의 경우에는 함수의 인자로 주어진 컬럼의 순서에 따라 결과가 달라지므로 컬럼의 순서가 중요하다.,"일반 그룹 함수를 사용하여 CUBE, GROUPING SETS와 같은 그룹함수와 동일한 결과를 추출할 수 있으나, ROLLUP 그룹 함수와 동일한 결과는 추출할 수 없다.","정답: 1
해설: ② CUBE, ROLLUP, GROUPING SETS 함수들에 의해 집계된 레코드에서 집계 대상 컬럼 이외의 GROUP 대상 컬럼의 값은 NULL을 반환한다. ③ 함수의 인자로 주어진 컬럼의 순서에 따라 다른 결과를 추출하게 되는 그룹 함수는 ROLLUP 이며, 나열된 컬럼에 대해 계층 구조로 집계를 출력한다. ④ CUBE, GROUPING SETS, ROLLUP 세가지 그룹 함수 모두 일반 그룹 함수로 동일한 결과를 추출할 수 있다."
43,다음 SQL문의 ( )를 완성하시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j435-1.png,,"ㄱ: RANK(), ㄴ: DENSE_RANK()","ㄱ: DENSE_RANK(), ㄴ: ROW_NUMBER()","ㄱ : ROW_NUMBER(), ㄴ : RANK()","ㄱ : RANK(), ㄴ : ROW_NUMBER()","정답: 4
해설: 첫 번째 실행 결과는 급여가 동일하므로 같은 등수가 조회되었다. 따라서 RANK() 함수이다. 두 번째 실행 결과는 급여가 동일하지만 유일한 등수가 부여되었다. 따라서 ROW_NUMBER() 함수이다."
44,다음 중 계층형 쿼리에 대한 설명으로 올바르지 않은 것은?,,,계층형 질의는 하나의 테이블에서 자기 자신을 조인하는 형태를 사용한다.,재무제표 및 조직도와 같은 구조에서 사용할 수 있다.,순방향과 역방향 모두 수행할 수 있다.,루트 노드의 LEVEL 값은 가장 큰 값을 가진다.,"정답: 4
해설: Oracle 계층형 질의에서 루트 노드의 LEVEL값은 1이다."
45,"A 사용자가 ""홍길동"" 데이터를 입력하고 아직 COMMIT 되지 않은 데이터에 대한 설명으로 잘못된 것은?",,,B 사용자는 홍길동 데이터를 수정할 수 있다.,A 사용자는 홍길동 데이터를 수정할 수 있다.,B 사용자는 홍길동 데이터가 조회되지 않는다.,A 사용자는 홍길동 데이터를 조회할 수 있다.,"정답: 1
해설: 트랜잭션의 특징 중 고립성은 COMMIT이 완료되어야 다른 사용자가 해당 데이터를 조회하거나 수정할 수 있는 것이다. COMMIT 완료 전에는 해당 사용자만 조회하거나 수정할 수 있다."
46,아래 SQL 수행 결과로 가장 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j644-1.png,"SELECT COL1 FROM TAB1 ORDER BY CASE WHEN MOD(COL2, 3) = 0 THEN 'A' ELSE 'B' END, COL1;",,,,,"정답: 3
해설: CASE문 결과를 1차 정렬로 한 뒤, 이 값이 같을 경우 COL1의 값으로 2차 정렬을 수행한다. 이렇게 정렬된 COL1의 값은 SCOTT, ALLEN, FORD, SMITH 순으로 출력된다."
47,"Gender 칼럼이 0이면 남자, 1이면 여자를 출력 SELECT ( ㄱ ) FROM EMP; V_NAME은 문자열 변수 SELECT NAME ( ㄴ ) V_NAME FROM EMP;",,,"ㄱ : DECODE(GENDER, 0, '남자', '여자'), ㄴ : ON","ㄱ : DECODE(GENDER, 0, '남자', '여자'), ㄴ : INTO","ㄱ : DECODE(GENDER, 1, '남자', '여자'), ㄴ : ON","ㄱ : DECODE(GENDER, 0, '남자', '여자'), ㄴ : INTO","정답: 4
해설: DECODE 혹은 CASE문으로 구현되고 PL/SQL문에서 변수에 값을 넣기 위해서는 INTO구를 사용해야 한다."
48,"주어진 테이블 test32에는 COL1과 COL2칼럼이 있다. 아래의 SQL문을 실행한 결과로 올바른 것은? (ㄱ은 COUNT(COL1)의 결괏값을, ㄴ과 ㄷ은 출력되는 결과의 행의 수를 고르시오.)",,"insert into test32 values (null,10); insert into test32 values (12,null); insert into test32 values (null,null); insert into test32 values (10,12); ㄱ. SELECT COUNT(COL1) FROM test32; ㄴ. SELECT * FROM test32 WHERE COL1 IN (12,10,null); ㄷ. SELECT COL1, COUNT(*) FROM test32 GROUP BY COL1;","4,2,3","2,2,3","2,1,3","2,3,4","정답: 2
해설: ㄱ은 COUNT(COL1)을 사용하므로 NULL은 제외되기 때문에 2가 된다. 그리고 ㄴ은 IN구를 사용해서 NULL까지 조건으로 넣었지만, 12,10만 조회된다. 즉, NULL은 제외된다. 그리고 ㄷ은 COL1로 GROUP BY하였으므로 3건이 된다."
49,이래는 어느 회사의 정산 데이터 모델의 일부이며 고객이 서비스를 사용한 시간대에 따라 차등 단가를 적용하려고 한다. 다음 중 시간대별사용량 테아블을 기반으로 고객별 사용금액을 추출하는 SQL으로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j93-1.png,,"SELECT A.고객ID, A.고객명, SUM(B.사용량 * C.단가) AS 사용금액 FROM 고객 A INNER JOIN 시간대별사용량 B ON (A. 고객ID = B.고객ID) BETWEEN JOIN 시간대구간 C GROUP BY A.고객ID, A.고객명 ORDER BY A.고객ID, A.고객명;","SELECT A.고객ID, A.고객명, SUM(B.사용량 * C.단가) AS 사용금액 FROM 고객 A INNER JOIN 시간대별사용량 B ON (A.고객ID = B.고객ID) INNER JOIN 시간대구간 C ON B.사용시간대 BETWEEN C.시작시간대 AND C.종료시간대 GROUP BY A.고객ID, A.고객명 ORDER BY A.고객ID, A.고객명;","SELECT A.고객ID, A.고객명, SUM(B.사용량 * C.단가) AS 사용금액 FROM 고객 A INNER JOIN 시간대별사용량 B INNER JOIN 시간대구간 C ON (A.고객ID = B.고객ID AND B.시용시간대 BETWEEN C.시작시간대 AND C.종료시간대) GROUP BY A.고객ID, A.고객명 ORDER BY A.고객ID, A.고객명;","SELECT A.고객ID, A.고객명, SUM(B.사용량 * C. 단가) AS 사용금액 FROM 고객 A INNER JOIN 시간대별사용량 B ON (A.고객ID = B.고객ID) INNER JOIN 시간대구간 C ON (B.사용시간대〈= C.시작시간대 AND B.사용시간대〉= C.종료시간대) GROUP BY A.고객ID, A.고객명 ORDER BY A.고객ID, A.고객명;","정답: 2
해설: None"
50,아래 결과를 출력하기 위해 빈칸에 들어갈 문장으로 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j653-1.png,,"SELECT 고객.고객번호, 상품.상품명 FROM 고객, 상품 ON 고객.포인트 >= 상품.최소포인트(+);","SELECT 고객.고객번호, 상품.상품명 FROM 고객 JOIN 상품 ON 고객.포인트 BETWEEN 상품.최소포인트 AND 상품.최대포인트;","SELECT 고객.고객번호, 상품.상품명 FROM 고객 INNER JOIN 상품 ON 고객.포인트 <= 상품.최대포인트;","SELECT 고객.고객번호, 상품.상품명 FROM 고객 INNER JOIN 상품 ON 고객.포인트 >= 상품.최소포인트;","정답: 2
해설: 결과표를 보면 고객이 보유한 포인트에 맞춰서 상품을 출력한 것을 알 수 있다. 따라서 고객이 보유한 포인트가 상품 테이블의 최소포인트와 최대포인트 사이에 있는 조건을 갖는 쿼리는 3번이다."
