,category,tag,title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,commentary,answer_number
112,2과목,DML,아래와 같은 SQL문에 대해 삽입이 성공하는 SQL문은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j53-1.png,,"4,5","3,4","2,3","1,2",,1
113,2과목,그룹 함수,다음 중 월별매출 테이블을 대상으로 아래 SQL을 수행한 결과인 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j129-1.png,,,,,,"GROUPPING SETS 함수는 표시된 인수들에 대한 개별 집계를 구하는 기능을 하며, 위의 SQL은 (상품ID, 월)별 집계 데이터를 출력한다. 각 보기별 SQL은 아래와 같다. ① GROUPING SETS에 (월, 상품ID) 별, 월별로 집계되었다. SELECT 상품ID, 월, SUM(매출액) AS 매출액 FROM 월별매출 WHERE 월 BETWEEN '2014.10' AND '2014.12' GROUP BY GROUPING SETS((월, 상품ID), 월); ② GROUPING SETS에 월별, 상품ID별과 전체가 각각 집계되었다. SELECT 상품ID, 월, SUM(매출액) AS 매출액 FROM 월별매출 WHERE 월 BETWEEN '2014.10' AND '2014.12' GROUP BY GROUPING SETS(월, 상품ID, ()); ④ GROUPING SETS에 괄호를 사용하지 않아 월별과 상품ID별로 각각 집계되었다. SELECT 상품ID, 월, SUM(매출액) AS 매출액 FROM 월별매출; WHERE 월 BETWEEN '2014.10' AND '2014.12' GROUP BY GROUPING SETS (월, 상품ID);",3
114,2과목,JOIN,아래 결괏값은 주어진 2개 테이블을 특정 JOIN하여 나타난 결과이다. 어떤 조인인지 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j477-1.png,SELECT * FROM SQLD27 ( ) SQLD27_2 ON SQLD27.COL1 = SQLD27_2.COL1;,INNER JOIN,FULL OUTER JOIN,RIGHT OUTER JOIN,LEFT OUTER JOIN,주어진 두 개의 테이블에서는 같은 COL1 값을 갖는 튜플을 조회하고 우측 테이블에만 있는 값들이 추가로 조회되므로 RIGHT OUTER JOIN이다.,3
115,2과목,JOIN,다음 보기의 SQL을 실행하면 총 12개의 행이 조회된다. ( )에 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j303-1.png,SELECT * FROM MytestA ( ) MytestB;,RIGHT OUTER JOIN,CROSS JOIN,LEFT OUTER JOIN,INNER JOIN,"CROSS JOIN은 MytestA 테이블이 4행, MytestB 테이블이 3행이므로 4*3=12가 된다.",2
116,2과목,집합 연산자,다음 중 SQL 실행 결과로 올바르지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j434-1.png,,,,,,MytestB 테이블에는 NULL 값이 존재한다. 따라서 NULL을 NOT IN으로 조회하면 모든 조건이 FALSE가 되어서 0건이 조회된다.,3
117,2과목,집계 함수,다음 중 주어진 테이블을 수행하였을 때 결괏값이 다른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j495-1.png,,SELECT COUNT(*) FROM TEST16 WHERE MemberID IS NOT NULL;,"SELECT COUNT (NULLIF(MemberID, NULL)) FROM TEST16;",SELECT COUNT(MemberID) FROM TEST16;,SELECT COUNT(1) FROM TEST16;,보기 ④번은 6개를 반환하고 나머지는 모두 4개를 반환한다.,4
118,2과목,그룹 함수,다음 중 주어진 테이블에서 SQL문의 실행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j461-1.png,SELECT ID FROM test29 GROUP BY ID HAVING COUNT(*) = 2 ORDER BY (CASE WHEN ID = 1000 THEN 0 ELSE ID END);,,,,,"CASE문으로 ID가 1000인 것은 0 으로 변경하고 나머지는 ID값으로 ASC(오름차순) 한다. 단, COUNT 함수로 2건만 조회된다. 따라서 3000, 9999의 값이 2건이라서 3000, 9999만 조회된다.",4
119,2과목,,아래 SQL 수행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j593-1.png,SELECT SUM(COL2) + SUM(COL3) FROM TAB1; SELECT SUM(COL2) + SUM(COL3) FROM TAB1 WHERE COL1 > 0; SELECT SUM(COL2) + SUM(COL3) FROM TAB1 WHERE COL1 IS NOT NULL; SELECT SUM(COL2) + SUM(COL3) FROM TAB1 WHERE COL1 IS NULL;,"1000, NULL, 400, 600","1000, 100, 400, 600","500, NULL, 400, 600","500, 100, 400, 600","SUM(COL2)는 NULL 만 제외하고 총합을 리턴하므로 500 이 출력된다. 하지만 2 번 지문의 경우 COL1 > 0 조건에 만족하는 행은 첫 번째 행 하나이므로 SUM(COL2) + SUM(COL3) = NULL + 100 이 되며, 이때는 NULL 이 리턴된다.",1
120,2과목,윈도우 함수,다음 중 추천내역 테이블에서 아래와 같은 SQL을 수행하였을 때의 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j133-1.png,,,,,,"ROW_NUMBER 함수는 ORDER BY절에 의해 정렬된 데이터에 동일 값이 존재하더라도 유일한 순위를 부여하는 함수로서 데이터 그룹 내에 유일한 순위를 추출할 때 사용할 수 있는 함수이다. 문제의 SQL은 추천경로별(PARTITION BY 추천경로)로 추천점수가 가장 높은 (ORDER BY 추천점수 DESC) 데이터를 한건씩만 출력하지만, ①은 추천경로별로 추천점수가 가장 낮은 데이터를 각 한건씩 출력하였으며, ③은 전체에서 추천점수가 가장 높은 데이터 한건만을 출력하였고 ④은 전체 데이터를 그대로 출력하였다.",2
121,2과목,집계 함수,아래는 어느 회사의 광고에 대한 데이터 모델이다. 다음 중 광고매체 ID별 최초로 게시한 광고명과 광고시작일자를 출력하기 위하여 아래 (ㄱ) 에 들어갈 SQL로 옳은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j78-1.png,,"SELECT MIN (광고매체ID) AS 광고매체ID, MIN(광고시작일자) AS 광고시작일자 FROM 광고게시","SELECT MIN (광고매체ID) AS 광고매체ID, MIN(광고시작일자) AS 광고시작일자 FROM 광고게시 GROUP BY 광고ID","SELECT 광고매체ID, MIN(광고시작일자) AS 광고시작일자 FROM 광고게시 GROUP BY 광고매체ID","SELECT D. 광고매체ID, MIN(D. 광고시작일자) AS 광고시작일자 FROM 광고게시 D WHERE D.광고매체ID = C.광고매체ID GROUP BY D.광고매체ID",,3
122,2과목,계층형 질의,Mytest 테이블에 대해서 SQL문을 실행햇을 때 결과로 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j352-1.png,SELECT * FROM Mytest START WITH MGRID IS NULL CONNECT BY PRIOR EMPID = MGRID AND today BETWEEN '2017-01-01' AND '2022-12-31' ORDER SIBLINGS BY EMPID;,,,,,MGRID가 NULL인 값에서 시작해서 EMPID로 조회를 전개하는 순방향 조회를 하고 있다. 순방향 전개를 하면서 EMPID로 정렬한다.,4
123,2과목,그룹 함수,아래 SQL에서 출력되는 ROWS의 개수를 구하시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j401-1.png,"SELECT DNAME, JOB, COUNT(*) ""Total EMP"", SUM(SAL) ""Total Sal"" FROM SCOTT.EMP A, SCOTT.DEPT B WHERE A.DEPTNO = B.DEPTNO GROUP BY CUBE(DNAME,JOB);",20건,18건,14건,10건,"두 개의 테이블을 조인하면 14개의 행이 나오게 된다. 이를 CUBE로 집계를 하면 전체합계 1건, JOB별 집계 5건, DEPTNO별 집계 3건, DEPTNO에서의 JOB별 집계가 3건씩 9건으로 총 18건이 출력된다.",2
124,2과목,그룹 함수,다음의 SQL문 실행 결과로 조회되는 행의 개수는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j432-1.png,"SELECT COUNT(*) FROM( SELECT COUNT(*) FROM Mytest GROUP BY ROLLUP(DATA1), DATA2);",8,6,4,3,총 행 수는 8개 조회된다.,1
125,2과목,집계 함수,다음 sutdent 테이블을 이용하여 아래의 SQL을 수행하였을 때 실행 결과는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j234-1.png,SELECT count(*) FROM student GROUP BY department HAVING count(*) > 2;,3,2,1,0,"SELECT문을 보면 department로 GROUP BY한다. 그러면 총 3개의 그룹이 만들어진다. computer, physics, math이다. 3개의 그룹 중에서 개수가 2개 초과인 것을 조회하기 위해서 ""HAVING count(*) >2"" 문을 사용했다. 따라서 2개 초과인 것은 math이고 math는 총 3개가 있으므로 3이 된다.",1
126,2과목,JOIN,아래와 같은 데이터 모델에서 ORACLE을 기준으로 SQL을 작성하였다. 그러나 SQL Server에서도 동일한 결과를 보장할 수 있도록 ANSI 구문으로 SQL을 변경하려고 한다. 다음 중 아래의 SQL을 ANSI 표준 구문으로 변경한 것으로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j99-1.png,,"SELECT A.게시판ID, A.게시판명, COUNT(B.게시글ID) AS CNT FROM 게시판 A RIGHT OUTER JOIN 게시글 B ON (A.게시판ID = B.게시판ID AND A.사용여부 = 'Y' AND B.삭제여부 = 'N') GROUP BY A.게시판ID, A.게시판명 ORDER BY A.게시판ID;","SELECT A.게시판ID, A.게시판명, COUNT(B.게시글ID) AS CNT FROM 게시판 A LEFT OUTER JOIN 게시글 B ON (A.게시판ID = B.게시판ID) WHERE A.사용여부 = 'Y' AND B.삭제여부 = 'N' GROUP BY A.게시판ID, A.게시판명 ORDER BY A.게시판ID;","SELECT A.게시판ID, A.게시판명, COUNT(B.게시글ID) AS CNT FROM 게시판 A LEFT OUTER JOIN 게시글 B ON(A.게시판ID = B.게시판ID AND A.사용여부 = 'Y') WHERE B. 삭제여부 = 'N' GROUP BY A.게시판ID, A.게시판명 ORDER BY A.게시판ID;","SELECT A.게시판ID, A.게시판명, COUNT(B.게시글ID) AS CNT FROM 게시판 A LEFT OUTER JOIN 게시글 B ON (A.게시판ID = B.게시판ID AND B.삭제여부 = 'N') WHERE A.사용여부 = 'Y' GROUP BY A.게시판ID, A.게시판명 ORDER BY A.게시판ID;",,4
127,2과목,집계 함수,다음 출력 결과로 가장 알맞은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j748-1.png,"SELECT COL1, COL2, (SELECT COL2 FROM TAB2 WHERE TAB1.COL2 = TAB2.COL1) AS RESULT1, (SELECT MAX(COL2) FROM TAB3 WHERE TAB1.COL1 = TAB3.COL1) AS RESULT2 FROM TAB1;",,,,,"RESULT1은 TAB2의 COL1의 값이 TAB2의 COL1과 같은 행의 COL2값을 리턴한다. 하지만 TAB1의 COL2가 NULL 인 경우 조건에 일치하지 않아도 생략되지 않고 NULL로 출력되는데, 이는 메인쿼리의 WHERE절이 정의되지 않아 전체 행이 출력되기 때문이다. 마찬가지로 RESULT2도 TAB1의 COL1이 D인 경우 TAB1.COL1 = TAB3.COL1 조건에 일치하지 않지만 NULL로 출력된다.",2
128,2과목,그룹 함수,다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j191-1.png,,부서별 합계를 계산할 때 NULL값을 만나면 0으로 치환한다.,"NVL(SAL, 0)문에서 NVL은 NULL에 대한 합계오류를 예방한다.",DEPTNO 10의 합계는 3000이고 20의 합계는 500이다.,SELECT문에 WHERE 조건이 없으므로 연산에 참여하는 총 행 수는 5개이다.,그룹 함수를 사용하는 경우 NULL 값은 연산에서 제외된다. 그래서 NVL 함수를 사용하는 것은 합계 오류 예방과는 전혀 관계가 없다.,2
129,,,"두 개 릴레이션 Student와 Department가 있을 때, 질의문 ""SELECT * FROM Students, Department d WHERE s.dept > 100;""을 수행하려고 한다. 이 질의 수행으로 생성되는 결과 릴레이션의 차수와 카디널리티는 각각 얼마인가?( 단, 릴레이션 Student의 애트리뷰트 '소속(dept)'은 릴레이션 Department의 애트리뷰트 '코드(dno)'를 외부키로 참조한다)",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j233-1.png,,"차수=8, 카디널리티=3","차수=8, 카디널리티=9","차수=5, 카디널리티=2","차수=5, 카디널리티=3","차수와 카디널리티를 구하는 문제로 차수는 결과 릴레이션의 칼럼 수이다. 그래서 student와 dept 테이블을 조인하여 모든 칼럼을 출력하기 때문에 각각 student 테이블에서 5개, dept 테이블에서 3개, 총 8개의 칼럼을 가지게 된다.",2
130,,,주어진 데이터에 대해서 아래의 SQL문을 수행하였을 때의 결괏값이 아래의 결과와 같을 때 빈칸에 들어갈 값을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j561-1.png,,"3,3","2,2","3,2","2,3","NTILE(3)는 데이터 3등분 한다. 그리고 각 등분에 대해서 COUNT를 계산하므로 3,2가 된다.",3
131,,,함수의 실행 결과 중 다른 하나는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j586-1.png,,"ISNULL(COMM, 100)","COALESCE(COMM, 100)","NULLIF(COMM, 100)","NVL(COMM, 100)","NVL, COALESCE, ISNULL 모두 널을 만나면 그 다음 인수 값을 리턴하는 널 치환 함수이다. NULLIF(COMM, 100)은COMM 값과 100이 같으면 NULL을, 다르면 COMM 값을 리턴하므로 NULL, 500이 출력된다.",3
132,,,다음 주어진 테이블에 대해서 아래의 SQL문의 실행 결과로 가장 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j459-1.png,"SELECT ID, AGE FROM test20 ORDER BY (CASE WHEN ID = 10 OR ID=13 THEN 1 ELSE 2 END), AGE DESC",,,,,"CASE 문을 사용해서 정렬의 순서를 변경했고 그래서 ID가 13, 10번이 가장 먼저 조회된다. 즉, 10과 13번이 먼저 조회되고 AGE로 DESC이므로 13의 AGE가 50이라서 가장먼저 조회된다.",4
133,,,다음 중 [사원] 테이블에 대하여 아래와같은 SQL을 수행하였을 때 예상되는 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j135-1.png,,,,,,,4
134,,,다음 중 잘못된 SQL문을 고르시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j427-1.png,,"SELECT b.dname, a.ename, a.sal FROM Limbest.emp a, Limbest.dept b where a.deptno = b.deptno and sal IN (SELECT SAL from Limbest.emp where DEPTNO = 10);","SELECT b.dname, a.ename, a.sal FROM Limbest.emp a, Limbest.dept b where a.deptno = b.deptno and sal >= ANY(30,40,50,60,70);","SELECT b.dname, a.ename, a.sal FROM Limbest.emp a, Limbest.dept b where a.deptno = b.deptno and sal <= ANY(30,40,50,60,70);","SELECT b.dname, a.ename, a.sal FROM Limbest.emp a, Limbest.dept b where a.deptno = b.deptno and sal <= (SELECT MAX(sal) FROM Limbest.emp GROUP BY DEPTNO);","문제의 핵심은 Sub Query 시에 다중행 서브쿼리르 묻고 있는 것이다. 보기 ④번은 서브쿼리로 여러 개의 행이 되돌아 오기 때문에 ALL, ANY, IN 함수를 사용해야 한다.",4
135,,,아래와 같은 테이블에 데이터가 있다. 각 SQL에 대한 결괏값이 잘못된 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j207-1.png,,,,,,NOT 조건이므로 NULL 연산이 Unknown으로 처리되어 True로 반환되는 현상이 나타난다.,3
136,,,"다음에 주어진 두 개의 테이블에 대해서 ""SQL1""의 실행 결과와 동일한 ""SQL2"" 문을 완성하시오.",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j311-1.png,,SELECT 1 FROM MytestB b WHERE a.col1=b.col1 AND a.col2=b.col2 AND b.col1 < 1400,SELECT 1 FROM MytestB b WHERE a.col1=b.col1 AND a.col2=b.col2 AND b.col1 > 1400,SELECT 1 FROM MytestB b WHERE a.col1=b.col1 AND a.col2=b.col2 AND b.col3 < 1400,SELECT 1 FROM MytestB b WHERE a.col1=b.col1 AND a.col2=b.col2 AND b.col3 > 1400,EXISTS 구문의 뒤의 조건에 일치하는 경우 해당 a테이블의 행을 출력한다.,4
137,,,"아래 데이터 모델과 같이 고객과 주문 테이블이 생성되어 았으며, 고객과 주문 테이블에 입력되어 있는 데이터는 아래 표와 같다. 이 때 FK_001이라는 제약 조건을 아래 SQL과 같이 설정하였다. 다음 중 오류 없이 정상적으로 수행되는 SQL을 2개 고르시오.",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j55-1.png,,DELETE FROM 고객 WHERE 고객ID = 'C002';,"DELETE FROM 주문 WHERE 주문번호 IN ('0001', '0002');","INSERT INTO 주문 VALUES ('0005', 'C003', '2013-12-28');","INSERT INTO 고객 VALUES ('C003', '강감찬',2014-01-01');",,"2,4"
138,,,다음 WINDOW FUNCTION이 포함된 SQL문의 실행 결과로 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j334-1.png,"SELECT MGR, ENAME, SAL, SUM(SAL) OVER (PARTITION BY MGR ORDER BY HIREDATE ROWS BETWEEN 1 PRECEDING AND 1 FOLLOWING) AS MGR_SUM FROM Mytest;","4500, 7500, 7500, 3000, 4500, 4500, 5000, 8500, 8500","4500, 7500, 5500, 3000, 4500, 2500, 5000, 8500, 5500","2000, 4500, 7500, 2000, 3000, 4500, 3000, 5000, 8500","2000, 2500, 3000, 2000, 1000, 1500, 3000, 2000, 3500",위의 Mytest 테이블에서 MGR 속성별로 파티션을 분할했을 때 각각의 파티션 내에서 HIREDATE 속성값 기준으로 오름차순 정렬하고 그때 같은 파티션 내에서 현재 행을 기준으로 바로 이전 행부터 바로 다음 행까지의 급여의 합계를 계산하여 MGR_SUM 속성값으로 조회한다.,2
139,,,다음은 Oracle 데이터베이스에서 사용하는 Outer Join의 예제이다. 빈칸을 채워 Oracle의 Outer Join을 표준 ANSI SQL로 변경하시오.,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j304-1.png,,CROSS JOIN,RIGHT OUTER JOIN,LEFT OUTER JOIN,FULL OUTER JOIN,"Oracle OUTER JOIN에서 (+)가 왼쪽 테이블 옆에 위치해 있으므로 우측 테이블에서는 조인을 수행하지 않는 테이블의 행들은 그대로 유지되며, 좌측 테이블에서는 조인을 수행하지 않는 테이블의 행들은 null값으로 추가되는 Rights OUTER JOIN이 수행된다.",2
140,,,"EMP 테이블 7788번 사원의 SAL 값이 현재 1000인 상황에서 아래 TX1, TX2 두 개의 트랜잭션이 동시에 수행되었다. 양쪽 트랜잭션이 모두 완료된 시점에 7788번 사원의 SAL 값은?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j262-1.png,,1300,1200,1100,1000,TX2의 update 문은 배타적 lock 때문에 대기했다가 TX1 트랜잭션이 commit 한 후에 처리를 계속 한다. TX1에 의해 1100으로 바뀐 값을 읽어 200을 더하므로 최종 결과는 1300이 된다.,1
141,,,아래의 상품 마스터 테이블에 대한 상품ID '001'의 최종 상품명은 무엇인가?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j559-1.png,BEGIN TRANSACTION; SAVE TRANSACTION SP1; UPDATE 상품마스터 SET 상품명 = 'LG-TV' WHERE 상품ID ='001'; SAVE TRANSACTION SP2; UPDATE 상품마스터 SET 상품명 = '평면-TV' WHERE 상품ID = '001'; ROLLBACK TRANSACTION SP2; COMMIT;,없음,TV,평면-TV,LG-TV,"ROLLBACK TRANSACTION SP2 문장에 의해 UPDATE 상품 SET 상품명 = '평면-TV' WHERE 상품ID = '001'이 ROLLBACK 되었고, 첫 번째 UPDATE 문장만 유효한 상태에서 COMMIT 되었으므로 첫 번째 UPDATE한 내역만 반영된다. 그러므로 LG-TV가 된다.",4
142,,,아래와 같은 테이블이 있다. 다음 SQL 실행 결과로 올바른 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j602-1.png,"SELECT COUNT(DEPTNO) FROM EMPLOYEES WHERE DEPTNO <= ALL(SELECT DEPTNO FROM EMPLOYEES WHERE HIREDATE >= TO_DATE('2020/02', 'YYYY/MM'));",5,4,3,2,"서브쿼리 결과가 먼저 실행되어 2020년 2월 1일보다 입사일이 큰 행의 DEPTNO(30, 40, 50)가 출력되고 ALL이 작다와 결합되어 이들 중 30보다 작거나 같은 조건으로 전달된다. 따라서 DEPTNO가 10, 20, 30인 EMPNO의 수는 총 3개이다.",3
143,,,다음 SQL 구문의 실행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j597-1.png,SELECT SAL FROM TAB1 ORDER BY TO_CHAR(SAL);,2500 1300 800 300,300 1300 800 2500,300 800 1300 2500,1300 2500 300 800,"TO_CHAR에 의해 SAL 값이 문자로 변환되며, 문자 값의 대소 비교는 값의 왼쪽부터 비교하므로 왼쪽 값이 가장 작은 값의 크기가 제일 작다. 따라서 1300 < 2500 < 300 < 800 순이 되며, 오름차순 정렬은 1300, 2500, 300, 800 순서로 배치된다.",4
144,,,다음 ERD를 보고 고객별로 가장 최근에 구매한 상품명을 출력하는 SQL로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j701-1.png,,"SELECT C.이름, G.구매일, P.상품명 FROM 고객 C, 구매 G, 상품 P WHERE G.상품번호 = P.상품번호 AND C.고객번호 = G.고객번호;","SELECT C.이름, G.구매일, P.상품명 FROM 고객 C, 구매 G, 상품 P, (SELECT 고객번호, MIN(구매일) 최근구매일 FROM 구매 GROUP BY 고객번호) I WHERE G.고객번호 = I.고객번호 AND G.구매일 = I.최근구매일 AND G.상품번호 = P.상품번호 AND C.고객번호 = G.고객번호;","SELECT G.고객번호, G.구매일, P.상품명 FROM 고객 G, 상품 P, (SELECT 고객번호, MAX(구매일) 최근구매일 FROM 구매 GROUP BY 고객번호) I WHERE G.고객번호 = I.고객번호 AND G.상품번호 = P.상품번호;","SELECT G.고객번호, G.구매일, P.상품명 FROM 구매 G, 상품 P, (SELECT 고객번호, MAX(구매일) 최근구매일 FROM 구매 GROUP BY 고객번호) I WHERE G.고객번호 = I.고객번호 AND G.구매일 = I.최근구매일 AND G.상품번호 = P.상품번호;","먼저 구매테이블을 통해 고객별 최근 구매일을 파악한 뒤(인라인뷰), 해당 고객과 구매일에 구매한 상품번호를 파악하기 위해 다시 구매테이블과 조인이 필요하다. 그 뒤 상품테이블과 조인하여 해당 상품의 상품명을 알아내면 된다.",4
145,,,다음 보기의 SELECT문을 실행했을 때 그 결과가 다른 하나는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j288-1.png,,"SELECT MIN(nvl(CNT,5)) FROM Mytest;","SELECT AVG(nvl(CNT,0)) FROM Mytest;","SELECT SUM(nvl(CNT,0))/4 FROM Mytest;","SELECT COUNT(nvl(CNT,0)) FROM Mytest;","①,③,④ 번 보기는 결괏값 5를 반환하고 ②번 보기만 결괏값 4를 반환한다.",2
146,,,아래의 테이블들에 대해서 SQL문을 수행하였을 때의 결과 값은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j545-1.png,SELECT COUNT(*) FROM TEST29_1 A WHERE A.COL NOT IN(SELECT COL FROM TEST29_2);,6,3,1,0,NOT IN 안에 NULL이 들어가면 아무것도 출력되지 않는다. 이 때 COUNT는 0을 출력하게 된다.,4
147,,,다음 주어진 테이블에 대해서 아래와 같은 SQL문을 수행하였을 때 반환되는 ROW 값의 수는 무엇인가?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j195-1.png,,4,3,2,1,"주어진 SQL문 앞에 UNION 연산을 수행하면 1,2,3,4,5,가 반환되고 이어서 minus를 수행하면 1,3,4,5가 반환된다.",1
148,,,주어진 테이블에 대해서 아래의 SQL문을 수행한 결과로 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j491-1.png,select count(*) from TEST11 where COL3 <> 3 start with COL3 = 4 connect by COL1 = prior COL2;,3,2,1,0,,1
149,,,다음 중 아래 테이블에 대한 이상현상을 설명한 것 중 가장 적절하지 않은 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j367-1.png,,삭제 이상 : 장비의 고객정보가 삭제되면 A카드 상품의 정보도 삭제된다.,갱신 이상 : 노트북의 가격을 업데이트 할 경우 관우의 노트북만 업데이트하면 된다.,갱신 이상 : 스마트폰의 정보를 업데이트할 경우 유비의 스마트폰만 업데이트하면 된다.,삽입 이상 : 상품을 주문하지 않은 고객의 정보를 삽입할 수 없다.,스마트폰의 정보를 업데이트할 경우 유비뿐 아니라 관우의 정보도 같이 업데이트해야 한다.,3
150,,,"SQL SERVER에 구축된 TEAMSCORE 테이블에서 WINCNT가 가장 높은 4위까지 조회한다. 단, WINCNT에 동일한 순위 팀이 있으면 같이 조회하는 SQL문으로 올바른 것은?",https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j329-1.png,,"SELECT TOP(4) WITH TIES TEAMNAME, WINCNT FROM TEAMSCORE ORDER BY WINCNT DESC;","SELECT TEAMNAME, WINCNT FROM TEAMSCORE WHERE ROWNUM <= 4 ORDER BY WINCNT DESC;","SELECT TOP(4) TEAMNAME, WINCNT FROM TEAMSCORE;","SELECT TOP(4) TEAMNAME, WINCNT FROM TEAMSCORE ORDER BY WINCNT ASC;",②번의 ROWNUM은 ORACLE 데이터베이스에서 사용하는 것이고 SQL SERVER는 TOP구를 사용한다. TOP구에 WITH TIES를 같이 사용하면 동일한 데이터가 있을 때 함께 조회된다.,1
151,,,다음의 SQL문을 실행했을 때 결과는?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j380-1.png,SELECT * FROM MytestA a left outer join MytestB b on a.col1 = b.col1;,,,,,①번 보기는 INNER JOIN ②번 보기는 FULL OUTER JOIN ③번 보기는 RIGHT OUTER JOIN ④번 보기는 LEFT OUTER JOIN이다.,4
152,,,다음 SQL의 수행 결과로 가장 적절한 것은?,https://sqld-bk.s3.ap-southeast-2.amazonaws.com/j636-1.png,"SELECT TO_CHAR(TO_DATE(SUBSTR(JUMIN, 1, 6), 'RRMMDD'), 'YYYY-MM-DD') FROM TAB1;",2075-10-23 0:00:00,1975-10-23 0:00:00,2075-10-23,1975-10-23,"주민번호의 앞 6자리를 사용하여 날짜변환 시 RR 포맷을 사용하면 두 자리 연도가 1~49 사이면 2000년대를, 50~99이면 1900년도의 4자리 연도로 출력, YY를 사용하면 2000년대를 출력한다.",4
